GenderSelect,Country,Age,CurrentJobTitleSelect,LanguageRecommendationSelect,FormalEducation,MLSkillsSelect,EmployerIndustry,TimeGatheringData,TimeModelBuilding,TimeProduction,TimeVisualizing,TimeFindingInsights,TimeOtherSelect,JobSatisfaction,CompensationUSD
Male,Brazil,25.0,Computer Scientist,Python,Master's degree,Supervised Machine Learning (Tabular Data),Academic,20.0,70.0,0.0,0.0,10.0,0.0,10,482.02500000000003
Male,Brazil,32.0,Scientist/Researcher,Python,Master's degree,"Natural Language Processing,Recommendation Engines,Reinforcement learning,Supervised Machine Learning (Tabular Data),Unsupervised Learning",Academic,25.0,10.0,40.0,20.0,5.0,0.0,10,8033.750000000001
Male,Hungary,38.0,Researcher,Python,Bachelor's degree,"Supervised Machine Learning (Tabular Data),Unsupervised Learning,Other (please specify; separate by semi-colon)",Technology,20.0,10.0,0.0,50.0,20.0,0.0,2,1449.3120000000001
Male,Other,28.0,Data Scientist,Python,Bachelor's degree,"Natural Language Processing,Supervised Machine Learning (Tabular Data),Unsupervised Learning",Internet-based,80.0,5.0,3.0,2.0,10.0,0.0,10,10000.0
Male,Brazil,38.0,Programmer,Python,Bachelor's degree,"Computer Vision,Unsupervised Learning",Technology,80.0,20.0,0.0,0.0,0.0,0.0,6,19281.0
Male,Russia,31.0,Business Analyst,R,Some college/university study without earning a bachelor's degree,"Natural Language Processing,Recommendation Engines",CRM/Marketing,15.0,40.0,30.0,0.0,15.0,0.0,5,14617.68
Female,United Kingdom,31.0,Data Analyst,SQL,Doctoral degree,"Natural Language Processing,Recommendation Engines,Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning",Government,60.0,4.0,3.0,3.0,30.0,0.0,7,38401.452
Male,United Kingdom,30.0,Data Analyst,SQL,Bachelor's degree,"Outlier detection (e.g. Fraud detection),Time Series,Unsupervised Learning",Technology,60.0,10.0,10.0,10.0,10.0,0.0,7,59588.46
Male,United States,49.0,DBA/Database Engineer,Other,I did not complete any formal education past high school,Machine Translation,Financial,0.0,0.0,80.0,0.0,20.0,0.0,8,85000.0
Male,Spain,37.0,Data Scientist,Python,Master's degree,"Adversarial Learning,Computer Vision,Machine Translation,Natural Language Processing,Reinforcement learning,Supervised Machine Learning (Tabular Data),Time Series",Academic,40.0,30.0,20.0,10.0,0.0,0.0,0,14349.912
Male,United States,62.0,Programmer,Python,Master's degree,Supervised Machine Learning (Tabular Data),Non-profit,30.0,25.0,10.0,20.0,15.0,0.0,5,65000.0
Male,Poland,58.0,DBA/Database Engineer,R,Master's degree,"Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning",Financial,70.0,20.0,0.0,10.0,0.0,0.0,2,843.312
Male,United States,38.0,Data Scientist,Python,Doctoral degree,"Recommendation Engines,Reinforcement learning,Supervised Machine Learning (Tabular Data),Survival Analysis,Time Series,Unsupervised Learning",Internet-based,45.0,10.0,10.0,20.0,15.0,0.0,4,130000.0
Male,United States,27.0,Other,SQL,Bachelor's degree,,Other,25.0,25.0,50.0,0.0,0.0,0.0,8,55000.0
Male,France,26.0,Scientist/Researcher,R,Master's degree,,Government,80.0,0.0,15.0,5.0,0.0,0.0,10,29895.65
A different identity,Canada,23.0,Scientist/Researcher,Python,Bachelor's degree,"Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning,Other (please specify; separate by semi-colon)",Academic,20.0,40.0,0.0,20.0,20.0,0.0,8,85000.0
Male,India,23.0,Engineer,Python,Master's degree,"Natural Language Processing,Recommendation Engines,Supervised Machine Learning (Tabular Data),Unsupervised Learning",Technology,25.0,40.0,10.0,10.0,15.0,0.0,10,5623.2
Female,Poland,23.0,Data Scientist,SAS,Bachelor's degree,"Supervised Machine Learning (Tabular Data),Unsupervised Learning",Financial,20.0,50.0,20.0,10.0,0.0,0.0,4,5622.080000000001
Female,United States,31.0,Scientist/Researcher,Python,Master's degree,"Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data),Time Series",Insurance,55.0,20.0,10.0,10.0,5.0,0.0,6,92000.0
Female,United States,31.0,Data Scientist,R,Master's degree,"Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning",Other,70.0,15.0,0.0,15.0,0.0,0.0,3,79000.0
Male,United States,50.0,Scientist/Researcher,Python,Doctoral degree,"Outlier detection (e.g. Fraud detection),Recommendation Engines,Speech Recognition,Time Series",Financial,30.0,30.0,30.0,0.0,0.0,10.0,9,305000.0
Male,United States,72.0,Data Scientist,Python,Doctoral degree,Adversarial Learning,Academic,40.0,10.0,30.0,10.0,10.0,0.0,5,250000.0
Male,United States,37.0,Data Scientist,Python,Doctoral degree,"Outlier detection (e.g. Fraud detection),Survival Analysis,Time Series",Technology,60.0,20.0,5.0,15.0,0.0,0.0,10,90000.0
Male,New Zealand,30.0,Data Analyst,R,Bachelor's degree,"Supervised Machine Learning (Tabular Data),Time Series",Government,60.0,10.0,10.0,10.0,10.0,0.0,9,65502.090000000004
Male,France,24.0,Data Scientist,R,Master's degree,"Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning",Mix of fields,60.0,20.0,0.0,10.0,10.0,0.0,8,47833.04
Male,Netherlands,26.0,Business Analyst,Python,Master's degree,"Natural Language Processing,Supervised Machine Learning (Tabular Data)",Financial,40.0,20.0,5.0,15.0,20.0,0.0,8,41853.91
Male,Chile,37.0,Software Developer/Software Engineer,Python,Professional degree,"Computer Vision,Natural Language Processing",Government,80.0,10.0,0.0,10.0,0.0,0.0,8,1284.7999999999997
Female,Germany,24.0,Scientist/Researcher,R,Bachelor's degree,"Natural Language Processing,Supervised Machine Learning (Tabular Data)",Academic,0.0,0.0,0.0,0.0,0.0,0.0,7,573.99648
Male,United States,52.0,Scientist/Researcher,Python,Master's degree,"Natural Language Processing,Supervised Machine Learning (Tabular Data),Unsupervised Learning",Other,50.0,30.0,0.0,10.0,10.0,0.0,7,140000.0
Male,United States,35.0,Data Scientist,Python,Doctoral degree,"Natural Language Processing,Supervised Machine Learning (Tabular Data)",Internet-based,66.0,15.0,15.0,2.0,2.0,0.0,0,160000.0
Male,United States,28.0,Data Scientist,Python,Bachelor's degree,"Natural Language Processing,Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning,Other (please specify; separate by semi-colon)",Non-profit,30.0,15.0,0.0,15.0,40.0,0.0,2,25000.0
Male,Belarus,31.0,Programmer,Python,Master's degree,"Adversarial Learning,Recommendation Engines,Supervised Machine Learning (Tabular Data),Survival Analysis",Mix of fields,20.0,40.0,20.0,20.0,0.0,0.0,6,25000.0
Male,Czech Republic,25.0,Other,R,Master's degree,"Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data),Survival Analysis,Time Series,Unsupervised Learning",Mix of fields,70.0,20.0,5.0,3.0,2.0,0.0,9,1145.5
Female,United States,28.0,Engineer,Python,Master's degree,"Computer Vision,Supervised Machine Learning (Tabular Data),Time Series",Mix of fields,40.0,40.0,0.0,20.0,0.0,0.0,3,80000.0
Male,Poland,26.0,Data Scientist,R,Master's degree,"Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data),Unsupervised Learning",Technology,50.0,20.0,0.0,15.0,15.0,0.0,9,26.985984000000002
Male,France,30.0,Other,Python,Doctoral degree,"Computer Vision,Supervised Machine Learning (Tabular Data)",Pharmaceutical,35.0,15.0,10.0,15.0,25.0,0.0,5,39462.258
Male,Czech Republic,30.0,Data Scientist,Python,Master's degree,"Outlier detection (e.g. Fraud detection),Recommendation Engines,Supervised Machine Learning (Tabular Data)",Technology,10.0,30.0,10.0,20.0,30.0,0.0,7,64148.0
Male,United States,26.0,Data Analyst,Python,Bachelor's degree,,CRM/Marketing,50.0,20.0,10.0,10.0,10.0,0.0,3,85000.0
Male,United States,39.0,Software Developer/Software Engineer,Python,I prefer not to answer,"Outlier detection (e.g. Fraud detection),Recommendation Engines,Supervised Machine Learning (Tabular Data)",Technology,50.0,30.0,5.0,15.0,0.0,0.0,10,180000.0
Male,United Kingdom,23.0,Data Analyst,Python,Master's degree,"Computer Vision,Natural Language Processing,Speech Recognition,Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning",Insurance,30.0,35.0,15.0,10.0,10.0,0.0,7,56277.99
Male,Russia,34.0,Researcher,Python,Professional degree,"Natural Language Processing,Outlier detection (e.g. Fraud detection),Recommendation Engines,Reinforcement learning,Supervised Machine Learning (Tabular Data)",Other,50.0,35.0,5.0,5.0,5.0,0.0,8,62647.200000000004
Male,United States,26.0,Other,R,Master's degree,"Supervised Machine Learning (Tabular Data),Unsupervised Learning",Manufacturing,90.0,5.0,0.0,3.0,2.0,0.0,5,80000.0
Male,South Africa,24.0,Data Scientist,Python,Bachelor's degree,"Computer Vision,Supervised Machine Learning (Tabular Data)",Mix of fields,30.0,30.0,20.0,10.0,10.0,0.0,9,27720.72
Male,Canada,52.0,Software Developer/Software Engineer,Python,Bachelor's degree,"Recommendation Engines,Supervised Machine Learning (Tabular Data)",Academic,60.0,20.0,0.0,20.0,0.0,0.0,8,90000.0
Male,Other,50.0,Data Scientist,R,Some college/university study without earning a bachelor's degree,"Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning",Internet-based,10.0,0.0,10.0,10.0,70.0,0.0,4,39000.0
Male,Japan,48.0,Software Developer/Software Engineer,Python,Master's degree,"Supervised Machine Learning (Tabular Data),Time Series",Financial,90.0,10.0,0.0,0.0,0.0,0.0,10,0.0
Male,United States,42.0,Data Scientist,Python,Bachelor's degree,"Computer Vision,Supervised Machine Learning (Tabular Data),Time Series",CRM/Marketing,40.0,20.0,15.0,15.0,10.0,0.0,7,180000.0
Male,Russia,26.0,Machine Learning Engineer,Python,Bachelor's degree,"Computer Vision,Supervised Machine Learning (Tabular Data)",Military/Security,20.0,50.0,10.0,10.0,10.0,0.0,7,1044.1200000000001
Male,United States,27.0,Data Scientist,SQL,Master's degree,"Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data)",Financial,20.0,45.0,20.0,10.0,5.0,0.0,9,155000.0
Male,United States,52.0,Scientist/Researcher,Python,Doctoral degree,"Machine Translation,Natural Language Processing,Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning",Other,45.0,25.0,10.0,10.0,10.0,0.0,6,170075.0
Male,India,25.0,Data Scientist,R,Bachelor's degree,"Outlier detection (e.g. Fraud detection),Survival Analysis,Unsupervised Learning",Insurance,50.0,25.0,15.0,5.0,5.0,0.0,8,18743.999999999996
Male,Australia,38.0,Software Developer/Software Engineer,Python,Doctoral degree,"Supervised Machine Learning (Tabular Data),Time Series",Technology,20.0,5.0,10.0,35.0,30.0,0.0,9,240693.00000000003
Female,United States,25.0,Scientist/Researcher,Python,Doctoral degree,"Outlier detection (e.g. Fraud detection),Time Series,Unsupervised Learning",Academic,20.0,20.0,20.0,20.0,20.0,0.0,10,30000.0
Male,Czech Republic,25.0,Software Developer/Software Engineer,SQL,Master's degree,Computer Vision,Internet-based,0.0,50.0,10.0,20.0,20.0,0.0,6,36000.0
Male,South Korea,27.0,Business Analyst,SQL,Bachelor's degree,Computer Vision,Financial,40.0,10.0,20.0,20.0,10.0,0.0,3,35440.0
Male,Other,28.0,Engineer,Python,Master's degree,Computer Vision,Academic,30.0,40.0,30.0,0.0,0.0,0.0,10,9268.86
Male,United States,31.0,Scientist/Researcher,Python,Doctoral degree,"Supervised Machine Learning (Tabular Data),Unsupervised Learning",Academic,60.0,10.0,2.0,15.0,13.0,0.0,3,49000.0
Male,Russia,22.0,Other,Python,Bachelor's degree,"Outlier detection (e.g. Fraud detection),Recommendation Engines,Reinforcement learning,Supervised Machine Learning (Tabular Data),Unsupervised Learning",Mix of fields,37.0,23.0,13.0,12.0,15.0,0.0,7,18000.0
Male,New Zealand,58.0,Data Scientist,Python,Doctoral degree,Other (please specify; separate by semi-colon),Telecommunications,30.0,10.0,50.0,10.0,0.0,0.0,9,87336.12000000001
Female,United States,31.0,Data Analyst,Python,Bachelor's degree,Natural Language Processing,Pharmaceutical,25.0,0.0,0.0,25.0,50.0,0.0,1,65000.0
Male,Other,44.0,Data Scientist,R,Master's degree,"Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data)",Government,30.0,40.0,10.0,10.0,10.0,0.0,7,47833.04
Male,Chile,30.0,Machine Learning Engineer,Python,Doctoral degree,Computer Vision,Other,40.0,40.0,10.0,10.0,0.0,0.0,10,3211.9999999999995
Male,Colombia,25.0,Machine Learning Engineer,,Bachelor's degree,"Computer Vision,Recommendation Engines,Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning",Internet-based,60.0,20.0,10.0,0.0,10.0,0.0,8,1368.0
Male,Mexico,21.0,Engineer,Other,Bachelor's degree,Supervised Machine Learning (Tabular Data),Academic,40.0,30.0,10.0,10.0,10.0,0.0,6,1692.42
Male,United States,27.0,Software Developer/Software Engineer,Python,Bachelor's degree,"Recommendation Engines,Reinforcement learning,Time Series",Other,55.0,20.0,10.0,10.0,5.0,0.0,7,115000.0
Male,United States,31.0,Data Scientist,R,Professional degree,"Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data),Survival Analysis,Time Series,Unsupervised Learning",Internet-based,25.0,20.0,20.0,10.0,25.0,0.0,8,135000.0
Male,United States,57.0,Predictive Modeler,R,Master's degree,Other (please specify; separate by semi-colon),Mix of fields,20.0,30.0,10.0,20.0,20.0,0.0,9,40000.0
A different identity,United States,37.0,Software Developer/Software Engineer,C/C++/C#,Master's degree,"Natural Language Processing,Supervised Machine Learning (Tabular Data),Unsupervised Learning",Technology,30.0,10.0,10.0,25.0,25.0,0.0,6,135000.0
Female,United States,25.0,Data Analyst,Python,Master's degree,"Natural Language Processing,Supervised Machine Learning (Tabular Data)",Academic,20.0,20.0,0.0,30.0,30.0,0.0,6,50000.0
Male,United States,29.0,Software Developer/Software Engineer,Python,Bachelor's degree,"Supervised Machine Learning (Tabular Data),Time Series,Other (please specify; separate by semi-colon)",Financial,0.0,50.0,20.0,20.0,10.0,0.0,10,470000.0
Male,Brazil,29.0,Machine Learning Engineer,Python,Professional degree,"Computer Vision,Supervised Machine Learning (Tabular Data)",Financial,70.0,0.0,0.0,20.0,10.0,0.0,8,30849.600000000002
Male,Italy,32.0,Other,Matlab,Master's degree,"Speech Recognition,Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning",Other,30.0,20.0,20.0,20.0,10.0,0.0,4,47833.04
Male,France,53.0,Statistician,R,Master's degree,Supervised Machine Learning (Tabular Data),Pharmaceutical,40.0,20.0,10.0,15.0,15.0,0.0,10,71749.56
Male,United Kingdom,31.0,Scientist/Researcher,Python,Master's degree,"Computer Vision,Other (please specify; separate by semi-colon)",Academic,30.0,25.0,5.0,10.0,5.0,25.0,8,41049.827999999994
Male,Ukraine,22.0,Data Analyst,Python,Master's degree,"Supervised Machine Learning (Tabular Data),Time Series",Financial,10.0,50.0,20.0,10.0,10.0,0.0,3,17200.0
Male,Ireland,27.0,Data Scientist,Python,Master's degree,"Computer Vision,Natural Language Processing,Supervised Machine Learning (Tabular Data)",Technology,5.0,70.0,15.0,0.0,10.0,0.0,8,71749.56
Male,Portugal,29.0,Scientist/Researcher,Python,Doctoral degree,"Computer Vision,Reinforcement learning,Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning",Academic,30.0,50.0,0.0,20.0,0.0,0.0,7,14349.912
Male,United States,48.0,Data Scientist,R,Doctoral degree,"Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data),Survival Analysis,Time Series,Unsupervised Learning,Other (please specify; separate by semi-colon)",Mix of fields,30.0,10.0,0.0,10.0,30.0,20.0,2,150000.0
Male,Brazil,30.0,Software Developer/Software Engineer,Python,Professional degree,"Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data)",Technology,20.0,20.0,20.0,20.0,20.0,0.0,7,38562.0
Female,United States,48.0,Predictive Modeler,Python,Master's degree,Supervised Machine Learning (Tabular Data),Mix of fields,60.0,20.0,10.0,5.0,5.0,0.0,6,130000.0
Male,Brazil,34.0,Data Scientist,Python,Master's degree,"Natural Language Processing,Supervised Machine Learning (Tabular Data),Unsupervised Learning",Other,50.0,10.0,20.0,10.0,10.0,0.0,3,89013.95000000001
Male,United States,37.0,Data Scientist,Python,Master's degree,"Natural Language Processing,Reinforcement learning,Supervised Machine Learning (Tabular Data),Unsupervised Learning",CRM/Marketing,40.0,30.0,5.0,10.0,15.0,0.0,10,60000.0
Male,United States,60.0,Software Developer/Software Engineer,Python,Bachelor's degree,"Supervised Machine Learning (Tabular Data),Unsupervised Learning",Financial,40.0,30.0,0.0,20.0,10.0,0.0,7,140000.0
Male,United States,47.0,Other,Python,Bachelor's degree,"Recommendation Engines,Supervised Machine Learning (Tabular Data)",Technology,20.0,10.0,60.0,0.0,10.0,0.0,9,178000.0
Male,United States,25.0,Other,,Bachelor's degree,"Computer Vision,Machine Translation,Outlier detection (e.g. Fraud detection),Reinforcement learning,Supervised Machine Learning (Tabular Data),Survival Analysis,Unsupervised Learning",Other,70.0,15.0,5.0,5.0,5.0,0.0,7,100000.0
Male,Brazil,24.0,Engineer,Python,Bachelor's degree,"Computer Vision,Outlier detection (e.g. Fraud detection)",Mix of fields,10.0,50.0,10.0,20.0,10.0,0.0,7,7712.400000000001
Male,United States,40.0,DBA/Database Engineer,Python,Doctoral degree,"Computer Vision,Speech Recognition,Time Series",Technology,10.0,10.0,10.0,10.0,60.0,0.0,6,150000.0
Male,Argentina,25.0,Computer Scientist,Python,Bachelor's degree,"Computer Vision,Natural Language Processing,Reinforcement learning,Speech Recognition,Supervised Machine Learning (Tabular Data)",Technology,40.0,30.0,10.0,15.0,5.0,0.0,10,1402.6560000000002
Male,United States,25.0,Other,Python,Master's degree,"Natural Language Processing,Outlier detection (e.g. Fraud detection),Recommendation Engines,Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning",Technology,45.0,25.0,5.0,15.0,10.0,0.0,9,85000.0
Male,United States,56.0,Business Analyst,Python,Bachelor's degree,,Manufacturing,20.0,20.0,10.0,25.0,25.0,0.0,1,107000.0
Male,Hong Kong,36.0,Predictive Modeler,Python,Doctoral degree,"Computer Vision,Unsupervised Learning",Financial,0.0,50.0,0.0,20.0,30.0,0.0,5,76798.8
Male,United States,52.0,Data Scientist,Python,Master's degree,"Natural Language Processing,Supervised Machine Learning (Tabular Data),Unsupervised Learning",Insurance,35.0,20.0,10.0,20.0,15.0,0.0,6,40000.0
Male,United States,24.0,Engineer,Matlab,Bachelor's degree,"Computer Vision,Supervised Machine Learning (Tabular Data)",Military/Security,40.0,10.0,20.0,10.0,20.0,0.0,7,67500.0
Male,Canada,24.0,Business Analyst,Python,Bachelor's degree,"Supervised Machine Learning (Tabular Data),Unsupervised Learning",Mix of fields,20.0,15.0,15.0,20.0,30.0,0.0,6,61776.59999999999
Male,India,47.0,Statistician,R,Doctoral degree,Supervised Machine Learning (Tabular Data),Academic,0.0,70.0,20.0,5.0,5.0,0.0,5,18743.999999999996
Male,United Kingdom,24.0,Data Analyst,Python,Master's degree,,Technology,60.0,20.0,5.0,10.0,5.0,0.0,6,55615.89599999999
Male,United States,23.0,Data Analyst,Python,Bachelor's degree,"Natural Language Processing,Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning",Financial,60.0,5.0,5.0,20.0,10.0,0.0,4,58000.0
Male,United States,23.0,Software Developer/Software Engineer,Python,Bachelor's degree,"Natural Language Processing,Other (please specify; separate by semi-colon)",Mix of fields,55.0,0.0,0.0,25.0,20.0,0.0,7,100000.0
Male,Other,25.0,Business Analyst,Python,Bachelor's degree,"Computer Vision,Natural Language Processing",Internet-based,60.0,10.0,10.0,10.0,10.0,0.0,8,25000.0
Male,United States,29.0,Data Scientist,Python,Master's degree,"Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data),Survival Analysis,Time Series,Unsupervised Learning",Internet-based,50.0,20.0,10.0,10.0,10.0,0.0,5,105000.0
Male,United States,49.0,Data Miner,Matlab,Master's degree,"Computer Vision,Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data),Survival Analysis,Time Series,Unsupervised Learning,Other (please specify; separate by semi-colon)",Financial,75.0,15.0,3.0,2.0,5.0,0.0,9,200000.0
Male,United States,35.0,Other,Python,Master's degree,"Outlier detection (e.g. Fraud detection),Recommendation Engines,Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning",Technology,20.0,50.0,0.0,20.0,10.0,0.0,8,60000.0
Male,China,28.0,Data Analyst,R,Master's degree,"Supervised Machine Learning (Tabular Data),Survival Analysis",Pharmaceutical,70.0,0.0,10.0,10.0,10.0,0.0,3,27540.0
Female,United States,27.0,Data Analyst,R,Doctoral degree,"Natural Language Processing,Speech Recognition",Technology,90.0,0.0,0.0,2.0,8.0,0.0,10,156.75
Male,United States,40.0,Software Developer/Software Engineer,Scala,Master's degree,"Recommendation Engines,Survival Analysis,Time Series",Financial,10.0,10.0,5.0,20.0,20.0,35.0,3,125000.0
