MSZoning,LotFrontage,LotArea,Street,Utilities,HouseStyle,YearBuilt,Foundation,TotRmsAbvGrd,KitchenAbvGr,MoSold,YrSold,SaleCondition,SalePrice
RL,77.0,9320,Pave,AllPub,1Story,1959,CBlock,6,1,1,2010,Normal,1
RL,,10603,Pave,AllPub,1Story,1977,PConc,6,1,2,2010,Normal,2
RL,77.0,9206,Pave,AllPub,2Story,1985,CBlock,7,1,6,2010,Normal,1
RL,64.0,7018,Pave,AllPub,1Story,1979,Slab,8,2,6,2009,Alloca,1
RL,94.0,10402,Pave,AllPub,1Story,2009,PConc,6,1,5,2010,Normal,2
RM,,7758,Pave,AllPub,1.5Fin,1931,PConc,7,1,6,2007,Normal,1
FV,75.0,9375,Pave,AllPub,2Story,2003,PConc,9,1,8,2008,Normal,2
RM,60.0,10800,Pave,AllPub,1Story,1885,BrkTil,6,1,8,2007,Normal,0
RM,50.0,6000,Pave,AllPub,1Story,1948,CBlock,5,1,4,2008,Partial,1
RM,85.0,8500,Pave,AllPub,1.5Fin,1919,CBlock,7,1,8,2007,Normal,1
RL,105.0,11751,Pave,AllPub,1Story,1977,CBlock,7,1,1,2010,Normal,2
RL,75.0,9525,Pave,AllPub,1.5Fin,1954,CBlock,7,1,10,2006,Normal,1
RL,,7750,Pave,AllPub,SLvl,2000,PConc,7,1,4,2010,Normal,2
RL,77.0,9965,Pave,AllPub,2Story,2007,PConc,10,1,10,2007,Partial,3
RL,,21000,Pave,AllPub,1Story,1953,CBlock,7,1,10,2007,Abnorml,2
RL,61.0,7259,Pave,AllPub,2Story,1945,CBlock,9,1,7,2007,Normal,2
FV,34.0,3230,Pave,AllPub,2Story,1999,PConc,5,1,6,2007,Normal,1
RL,,11616,Pave,AllPub,1Story,1962,CBlock,6,1,9,2009,Normal,1
RL,74.0,8536,Pave,AllPub,1Story,2006,PConc,5,1,4,2007,Partial,1
RL,90.0,12376,Pave,AllPub,2Story,1990,PConc,11,1,5,2010,Normal,3
RL,65.0,8461,Pave,AllPub,2Story,2005,PConc,8,1,7,2006,Partial,1
RL,,21453,Pave,AllPub,SLvl,1969,CBlock,4,1,10,2006,Normal,2
RM,50.0,6060,Pave,AllPub,1.5Fin,1939,PConc,4,1,6,2007,Normal,0
RL,75.0,9464,Pave,AllPub,1Story,1958,CBlock,5,1,6,2008,Normal,1
RL,55.0,7892,Pave,AllPub,1Story,1993,PConc,5,1,3,2008,Normal,1
RL,48.0,17043,Pave,AllPub,1Story,1979,CBlock,7,1,1,2009,Normal,2
RM,60.0,6780,Pave,AllPub,1.5Fin,1935,CBlock,5,1,6,2006,Normal,0
RL,,4928,Pave,AllPub,1Story,1976,CBlock,5,1,2,2007,Normal,1
RM,55.0,4388,Pave,AllPub,1.5Unf,1930,BrkTil,5,1,6,2007,Normal,0
RL,69.0,7590,Pave,AllPub,2Story,1966,CBlock,6,1,7,2006,Normal,1
RL,69.0,8973,Pave,AllPub,1Story,1958,CBlock,6,1,7,2006,Abnorml,1
RL,88.0,14200,Pave,AllPub,2Story,1966,CBlock,8,1,5,2006,Normal,2
RL,,12224,Pave,AllPub,2Story,2000,PConc,7,1,7,2009,Normal,2
RL,75.0,7388,Pave,AllPub,1Story,1959,CBlock,7,1,7,2007,Normal,1
RL,,6853,Pave,AllPub,1Story,2001,PConc,6,1,6,2009,Normal,2
RL,78.0,10335,Pave,AllPub,1Story,1968,CBlock,7,1,7,2006,Normal,2
RL,80.0,10400,Pave,AllPub,1Story,1970,PConc,7,1,5,2008,Normal,1
RL,,10355,Pave,AllPub,1Story,1967,CBlock,5,1,7,2007,Normal,1
RL,82.0,11070,Pave,AllPub,1Story,1988,CBlock,9,2,7,2006,Family,1
RL,73.0,9066,Pave,AllPub,2Story,1999,PConc,7,1,12,2008,Normal,2
RL,65.0,15426,Pave,AllPub,2Story,1997,PConc,7,1,8,2009,Normal,2
RL,70.0,10500,Pave,AllPub,1Story,1971,CBlock,5,1,4,2010,Normal,1
RL,78.0,11645,Pave,AllPub,1Story,2005,PConc,7,1,1,2006,Normal,2
RL,71.0,8520,Pave,AllPub,1.5Fin,1952,CBlock,6,1,6,2010,Normal,1
RL,78.0,10335,Pave,AllPub,1Story,1999,PConc,6,1,6,2009,Normal,2
RM,70.0,9100,Pave,AllPub,1Story,1963,CBlock,10,2,11,2006,Abnorml,1
RM,24.0,2522,Pave,AllPub,2Story,2004,PConc,7,1,4,2006,Normal,1
RM,51.0,6120,Pave,AllPub,1Story,1931,BrkTil,5,1,11,2009,Normal,0
RL,,9505,Pave,AllPub,2Story,2001,PConc,8,1,5,2010,Normal,2
RL,63.0,7500,Pave,AllPub,1Story,2004,PConc,6,1,4,2008,Normal,1
RM,,6240,Pave,AllPub,1.5Fin,1936,BrkTil,7,1,4,2006,Normal,1
RL,120.0,10356,Pave,AllPub,1Story,1975,CBlock,5,1,1,2007,Normal,1
RL,107.0,13891,Pave,AllPub,1Story,2007,PConc,6,1,1,2008,Partial,3
RL,,14803,Pave,AllPub,2Story,1971,CBlock,8,1,6,2006,Normal,2
RL,,13500,Pave,AllPub,1Story,1960,CBlock,4,1,3,2008,Normal,2
RM,84.0,11340,Pave,AllPub,1Story,1923,BrkTil,7,1,3,2006,Family,1
RL,60.0,9600,Pave,AllPub,1.5Fin,1924,BrkTil,5,1,4,2008,Normal,0
RL,60.0,7200,Pave,AllPub,1Story,1950,CBlock,5,1,6,2006,Normal,1
RL,92.0,12003,Pave,AllPub,2Story,2009,PConc,8,1,5,2010,Partial,2
FV,100.0,12552,Pave,AllPub,2Story,2004,PConc,8,1,5,2010,Normal,2
RL,134.0,19378,Pave,AllPub,2Story,2005,PConc,9,1,3,2006,Partial,3
RL,,11120,Pave,AllPub,1Story,1984,PConc,6,1,6,2008,Normal,1
RL,110.0,13688,Pave,AllPub,2Story,2003,PConc,10,1,3,2008,Normal,3
RL,95.0,12182,Pave,AllPub,1Story,2005,PConc,7,1,5,2010,Partial,2
RL,55.0,5500,Pave,AllPub,1.5Unf,1956,CBlock,4,1,4,2007,Normal,0
RM,40.0,5400,Pave,AllPub,1Story,1926,BrkTil,5,1,10,2007,Normal,1
RL,62.0,10106,Pave,AllPub,1.5Fin,1940,BrkTil,6,2,9,2008,Normal,1
RL,,10708,Pave,AllPub,1Story,1955,CBlock,7,1,11,2009,Normal,2
RL,86.0,10562,Pave,AllPub,2Story,2007,PConc,8,1,11,2007,Partial,3
RL,62.0,8244,Pave,AllPub,2Story,2004,PConc,7,1,5,2007,Normal,2
RL,,16669,Pave,AllPub,1Story,1981,CBlock,6,1,1,2006,Normal,2
RM,,12358,Pave,AllPub,1.5Fin,1941,CBlock,7,1,5,2007,Normal,1
RL,141.0,31770,Pave,AllPub,1Story,1960,CBlock,7,1,5,2010,Normal,2
RL,44.0,5306,Pave,AllPub,2Story,1987,PConc,5,1,6,2006,Normal,2
RL,80.0,10197,Pave,AllPub,1Story,1961,CBlock,6,1,6,2008,Normal,1
RL,47.0,12416,Pave,AllPub,1Story,1986,CBlock,7,1,11,2008,Normal,2
RL,84.0,12615,Pave,AllPub,1Story,1950,CBlock,7,1,6,2007,Normal,2
RL,97.0,10029,Pave,AllPub,2Story,1988,PConc,8,1,9,2007,Normal,2
RL,,13650,Pave,AllPub,1.5Fin,1958,CBlock,8,1,7,2006,Normal,1
RL,63.0,17423,Pave,AllPub,1Story,2008,PConc,9,1,7,2009,Partial,3
RM,60.0,8520,Pave,AllPub,1Story,1923,CBlock,5,1,7,2007,Normal,0
FV,,2117,Pave,AllPub,2Story,2000,PConc,5,1,6,2007,Normal,1
RL,54.0,7588,Pave,AllPub,2Story,1920,BrkTil,9,1,7,2006,Normal,2
RL,60.0,9060,Pave,AllPub,1Story,1957,PConc,7,1,6,2007,Normal,1
RM,63.0,11426,Pave,AllPub,1.5Fin,2003,PConc,6,1,6,2008,Normal,2
RL,92.0,7438,Pave,AllPub,1.5Fin,1908,PConc,5,1,6,2006,Normal,1
RM,90.0,22950,Pave,AllPub,2.5Fin,1892,BrkTil,12,1,6,2006,Normal,3
RL,,9947,Pave,AllPub,SLvl,1990,PConc,6,1,6,2009,Normal,1
RL,60.0,10410,Pave,AllPub,1.5Fin,1916,CBlock,8,1,8,2009,Normal,1
RL,64.0,7018,Pave,AllPub,SFoyer,1979,CBlock,6,2,6,2009,Alloca,1
RL,41.0,4923,Pave,AllPub,1Story,2001,PConc,5,1,8,2008,Normal,3
RL,70.0,10570,Pave,AllPub,2Story,1932,CBlock,10,1,12,2007,Normal,3
RL,,7472,Pave,AllPub,2Story,1972,CBlock,7,1,6,2007,Normal,2
RL,68.0,9017,Pave,AllPub,1Story,1999,PConc,6,1,9,2009,Normal,2
RM,24.0,2522,Pave,AllPub,2Story,2004,PConc,7,1,5,2006,Normal,1
RL,60.0,7180,Pave,AllPub,1Story,1972,CBlock,5,1,5,2008,Normal,1
RL,24.0,2280,Pave,AllPub,2Story,1976,CBlock,7,1,7,2009,Normal,1
RL,79.0,9416,Pave,AllPub,1Story,2007,PConc,8,1,9,2007,Partial,3
RL,174.0,25419,Pave,AllPub,2Story,1918,PConc,8,1,3,2006,Abnorml,2
RM,92.0,5520,Pave,AllPub,2.5Fin,1912,CBlock,8,1,7,2009,Abnorml,0
RL,76.0,9591,Pave,AllPub,1Story,2004,PConc,7,1,1,2009,Normal,2
RM,80.0,8546,Pave,AllPub,1Story,2003,PConc,5,1,3,2010,Normal,1
RL,75.0,10125,Pave,AllPub,1Story,1977,CBlock,6,1,2,2008,Normal,1
RL,50.0,7000,Pave,AllPub,1.5Fin,1924,BrkTil,6,1,5,2006,Normal,1
RM,,4438,Pave,AllPub,1Story,2004,PConc,3,1,1,2008,Normal,1
RM,50.0,3500,Pave,AllPub,1.5Fin,1947,CBlock,5,1,4,2009,Normal,1
RL,99.0,11851,Pave,AllPub,1Story,1990,PConc,5,1,5,2009,Normal,2
RL,40.0,13673,Pave,AllPub,1Story,1962,CBlock,8,1,3,2007,Normal,1
RL,,12493,Pave,AllPub,1Story,1960,PConc,6,1,4,2008,Normal,1
RL,,14364,Pave,AllPub,2Story,1988,CBlock,7,1,4,2007,Normal,2
RL,75.0,8250,Pave,AllPub,1Story,1964,CBlock,6,1,7,2008,Normal,1
RL,67.0,5604,Pave,AllPub,1Story,1925,CBlock,5,1,4,2008,Normal,0
RL,83.0,10420,Pave,AllPub,1Story,2009,PConc,6,1,3,2010,Normal,2
FV,72.0,8640,Pave,AllPub,2Story,2009,PConc,7,1,7,2009,Partial,2
RL,43.0,13568,Pave,AllPub,1Story,1995,PConc,5,1,7,2006,Normal,1
RL,,10900,Pave,AllPub,2Story,1977,CBlock,6,1,3,2010,Normal,1
RL,72.0,10011,Pave,AllPub,1Story,1957,CBlock,6,1,5,2006,Normal,1
RL,65.0,8450,Pave,AllPub,1Story,2004,PConc,8,1,4,2008,Normal,2
RM,57.0,9906,Pave,AllPub,2Story,1925,CBlock,8,1,9,2006,Family,1
RL,,15660,Pave,AllPub,1.5Fin,1939,CBlock,8,1,5,2008,Normal,3
RL,43.0,3010,Pave,AllPub,1Story,2005,PConc,5,1,3,2006,Partial,1
RL,73.0,8990,Pave,AllPub,1Story,2006,PConc,5,1,4,2006,Partial,2
RL,,8068,Pave,AllPub,2Story,2002,PConc,8,1,12,2009,Normal,2
RL,85.0,11475,Pave,AllPub,2Story,1975,CBlock,6,1,2,2006,Normal,2
RL,70.0,10500,Pave,AllPub,1Story,1971,CBlock,4,1,3,2009,Abnorml,0
RL,103.0,13472,Pave,AllPub,1Story,2003,PConc,8,1,6,2009,Normal,3
RM,21.0,1680,Pave,AllPub,2Story,1971,CBlock,6,1,5,2009,Abnorml,1
RL,82.0,9950,Pave,AllPub,2Story,1995,PConc,9,1,6,2007,Abnorml,3
RM,21.0,1869,Pave,AllPub,2Story,1970,CBlock,5,1,9,2008,Normal,0
RL,70.0,8521,Pave,AllPub,1Story,1967,CBlock,5,1,5,2010,Normal,1
RL,43.0,3182,Pave,AllPub,1Story,2005,PConc,7,1,5,2009,Normal,2
RL,73.0,8760,Pave,AllPub,1Story,1959,CBlock,6,1,4,2010,Normal,1
RL,174.0,15138,Pave,AllPub,2Story,1995,PConc,9,1,7,2009,Normal,3
RM,21.0,1680,Pave,AllPub,2Story,1972,CBlock,5,1,6,2006,Normal,0
RL,75.0,10650,Pave,AllPub,1Story,1976,CBlock,5,1,2,2010,Normal,1
RL,,7851,Pave,AllPub,2Story,2002,PConc,8,1,5,2010,Normal,2
RM,21.0,1680,Pave,AllPub,2Story,1971,CBlock,5,1,8,2008,Normal,0
RL,65.0,8773,Pave,AllPub,1Story,2004,PConc,6,1,5,2010,Normal,2
RL,,9453,Pave,AllPub,2Story,1993,PConc,7,1,2,2010,Normal,2
RL,93.0,12030,Pave,AllPub,1Story,2007,PConc,7,1,12,2007,Partial,3
RL,52.0,8741,Pave,AllPub,1.5Fin,1945,CBlock,7,1,4,2010,Normal,1
FV,75.0,9000,Pave,AllPub,1Story,2008,PConc,7,1,4,2010,Normal,2
RM,40.0,3880,Pave,AllPub,1Story,1945,CBlock,4,1,8,2007,Normal,1
RM,63.0,5000,Pave,AllPub,1.5Fin,1900,BrkTil,6,1,4,2006,Normal,0
RL,75.0,10762,Pave,AllPub,2Story,1980,CBlock,6,1,4,2009,Normal,1
RL,,8880,Pave,AllPub,2Story,1994,PConc,8,1,5,2010,Normal,2
RL,80.0,10400,Pave,AllPub,1Story,1988,CBlock,6,1,6,2006,Normal,2
RM,69.0,9142,Pave,AllPub,2Story,1910,Stone,9,2,4,2006,Normal,1
RL,75.0,11310,Pave,AllPub,1Story,1954,CBlock,5,1,6,2006,Normal,1
RL,72.0,11317,Pave,AllPub,2Story,2003,PConc,8,1,9,2007,Normal,2
RL,,159000,Pave,AllPub,1.5Fin,1958,CBlock,7,1,6,2007,Normal,2
RL,55.0,5350,Pave,AllPub,1Story,1940,CBlock,6,1,5,2010,Normal,0
RM,44.0,4750,Pave,AllPub,1Story,2006,PConc,5,1,12,2007,Family,2
RL,65.0,8366,Pave,AllPub,2Story,2004,PConc,6,1,12,2008,Normal,1
RL,85.0,9350,Pave,AllPub,SLvl,1964,CBlock,7,1,10,2007,Normal,1
RL,70.0,8400,Pave,AllPub,1Story,1957,CBlock,5,1,6,2010,Normal,1
RL,66.0,8738,Pave,AllPub,2Story,1999,PConc,8,1,2,2006,Normal,2
FV,64.0,8791,Pave,AllPub,2Story,2003,PConc,7,1,5,2008,Normal,2
RL,68.0,8814,Pave,AllPub,1Story,2006,PConc,8,1,3,2009,Abnorml,2
RL,80.0,12435,Pave,AllPub,2Story,2001,PConc,7,1,5,2008,Normal,2
RM,70.0,12702,Pave,AllPub,1Story,1956,PConc,4,1,12,2008,Normal,0
RL,120.0,19296,Pave,AllPub,SLvl,1962,CBlock,6,1,5,2009,Normal,1
RL,69.0,9588,Pave,AllPub,2Story,2007,PConc,10,1,11,2007,Partial,2
RL,88.0,8471,Pave,AllPub,SLvl,1977,CBlock,6,1,7,2006,Normal,1
RM,50.0,5500,Pave,AllPub,1.5Fin,1929,BrkTil,6,1,4,2010,Normal,1
RM,30.0,5232,Pave,AllPub,1Story,1925,BrkTil,4,1,6,2008,Normal,0
RL,78.0,12090,Pave,AllPub,1Story,1981,CBlock,7,1,6,2008,Normal,1
RL,70.0,11207,Pave,AllPub,2Story,1997,PConc,8,1,6,2006,Normal,2
RL,60.0,8400,Pave,AllPub,2.5Fin,1939,PConc,8,1,7,2008,Normal,2
RM,71.0,6900,Pave,AllPub,1Story,1940,CBlock,4,1,2,2008,Normal,1
RL,,7917,Pave,AllPub,1Story,1976,CBlock,6,1,5,2007,Normal,1
FV,84.0,10728,Pave,AllPub,2Story,2006,PConc,8,1,8,2006,Partial,2
RL,73.0,39104,Pave,AllPub,1Story,1954,CBlock,5,1,4,2008,Normal,2
RL,92.0,11764,Pave,AllPub,2Story,1999,PConc,9,1,4,2010,Normal,3
RL,80.0,9600,Pave,AllPub,1Story,1958,CBlock,6,1,4,2009,Normal,1
RL,76.0,8314,Pave,AllPub,1Story,1982,CBlock,5,1,6,2007,Normal,1
RL,55.0,7264,Pave,AllPub,1.5Fin,1925,BrkTil,5,1,10,2009,Normal,2
RL,129.0,9196,Pave,AllPub,1Story,2003,PConc,7,1,4,2010,Normal,2
RL,140.0,19138,Pave,AllPub,1Story,1951,CBlock,4,1,6,2010,Normal,1
RL,107.0,14450,Pave,AllPub,1Story,2006,PConc,8,1,5,2007,Partial,3
RL,83.0,10005,Pave,AllPub,2Story,1977,CBlock,8,1,3,2008,Normal,2
RL,82.0,11287,Pave,AllPub,2Story,1989,CBlock,7,1,1,2007,Normal,2
FV,60.0,7200,Pave,AllPub,1Story,2006,PConc,5,1,5,2006,Partial,2
RL,34.0,5063,Pave,AllPub,1Story,2007,PConc,6,1,4,2009,Normal,2
RL,74.0,9612,Pave,AllPub,1Story,2008,PConc,6,1,12,2009,Partial,2
RL,50.0,8012,Pave,AllPub,1Story,1992,PConc,5,1,7,2007,Normal,1
FV,35.0,4251,Pave,AllPub,2Story,2006,PConc,5,1,6,2007,Partial,1
RL,77.0,9786,Pave,AllPub,1.5Fin,1962,CBlock,7,1,6,2006,Normal,1
RL,,8125,Pave,AllPub,1Story,1971,CBlock,5,1,6,2006,Normal,0
RL,,9819,Pave,AllPub,1Story,1967,CBlock,5,1,2,2010,Normal,1
RL,60.0,8730,Pave,AllPub,2Story,1915,BrkTil,7,1,7,2007,Normal,1
RL,120.0,15611,Pave,AllPub,2Story,2006,PConc,8,1,7,2006,Partial,2
RL,55.0,5687,Pave,AllPub,2Story,1912,PConc,9,1,3,2008,Normal,1
RL,60.0,11409,Pave,AllPub,1.5Fin,1949,CBlock,8,1,1,2009,Normal,1
RL,,16659,Pave,AllPub,2Story,1977,CBlock,9,1,3,2006,Normal,2
RL,80.0,9600,Pave,AllPub,1Story,1953,CBlock,7,1,10,2009,Normal,1
RL,37.0,7937,Pave,AllPub,SLvl,1984,CBlock,6,1,3,2006,Normal,1
RM,75.0,13710,Pave,AllPub,1.5Fin,1950,CBlock,6,1,6,2007,Normal,1
FV,66.0,7399,Pave,AllPub,2Story,1997,PConc,7,1,6,2007,Normal,2
RL,90.0,11700,Pave,AllPub,2Story,1968,CBlock,7,1,6,2007,Normal,1
RL,80.0,14000,Pave,AllPub,1Story,1950,CBlock,6,1,8,2009,Family,1
RL,90.0,15750,Pave,AllPub,1Story,1953,CBlock,5,1,6,2006,Normal,1
RL,66.0,16226,Pave,AllPub,2Story,1998,PConc,9,1,5,2007,Normal,2
